Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Product_ID,Product_Name,Category,Region,City,Quantity,Unit_Price,Discount,Sales,Profit,Profit_Margin
ORD-100000,2023-10-06,2023-10-08,First Class,CUST-1202,PROD-1036,Organic Honey,Food & Grocery,Central,Leicester,5,590.43,0.0,2952.15,816.35,0.2765
ORD-100001,2022-05-21,2022-05-23,First Class,CUST-1145,PROD-1013,Hoodie,Clothing,Central,Leicester,3,730.12,0.0,2190.36,1065.24,0.4863
ORD-100002,2022-11-15,2022-11-18,First Class,CUST-1107,PROD-1008,T-Shirt,Clothing,East,Norwich,2,301.61,0.15,512.74,264.18,0.5152
ORD-100003,2022-04-15,2022-04-16,Same Day,CUST-1141,PROD-1016,Sofa,Home & Garden,Central,Nottingham,5,663.83,0.2,2655.32,1578.24,0.5944
ORD-100004,2024-06-23,2024-06-28,Same Day,CUST-1287,PROD-1000,Laptop,Electronics,East,Cambridge,5,430.02,0.0,2150.1,533.5,0.2481
ORD-100005,2024-01-27,2024-02-01,Second Class,CUST-1220,PROD-1007,Monitor,Electronics,North,Leeds,9,51.06,0.0,459.54,167.49,0.3645
ORD-100006,2024-04-12,2024-04-17,Second Class,CUST-1121,PROD-1013,Hoodie,Clothing,South,London,6,730.12,0.2,3504.58,1704.38,0.4863
ORD-100007,2023-11-12,2023-11-19,Same Day,CUST-1127,PROD-1011,Dress,Clothing,West,Bristol,3,163.61,0.15,417.21,105.52,0.2529
ORD-100008,2023-01-31,2023-02-04,First Class,CUST-1142,PROD-1022,Mirror,Home & Garden,East,Cambridge,4,710.06,0.0,2840.24,944.4,0.3325
ORD-100009,2023-06-28,2023-06-29,Standard Class,CUST-1222,PROD-1001,Smartphone,Electronics,North,Newcastle,3,809.75,0.1,2186.33,1264.06,0.5782
ORD-100010,2024-02-28,2024-03-04,Second Class,CUST-1130,PROD-1020,Rug,Home & Garden,West,Bath,9,47.19,0.0,424.71,248.85,0.5859
ORD-100011,2024-06-02,2024-06-03,First Class,CUST-1160,PROD-1000,Laptop,Electronics,Central,Derby,4,430.02,0.0,1720.08,426.8,0.2481
ORD-100012,2023-10-22,2023-10-26,Same Day,CUST-1226,PROD-1000,Laptop,Electronics,East,Ipswich,4,430.02,0.05,1634.08,405.46,0.2481
ORD-100013,2023-11-18,2023-11-19,Second Class,CUST-1158,PROD-1010,Jacket,Clothing,North,Newcastle,9,158.1,0.15,1209.46,520.43,0.4303
ORD-100014,2024-08-31,2024-09-05,Standard Class,CUST-1233,PROD-1012,Shoes,Clothing,South,London,1,216.86,0.0,216.86,102.67,0.4734
ORD-100015,2022-01-12,2022-01-19,Standard Class,CUST-1217,PROD-1024,Yoga Mat,Sports,West,Plymouth,4,108.76,0.0,435.04,157.88,0.3629
ORD-100016,2023-05-26,2023-06-02,Standard Class,CUST-1233,PROD-1011,Dress,Clothing,Central,Nottingham,1,163.61,0.1,147.25,37.24,0.2529
ORD-100017,2023-05-22,2023-05-29,First Class,CUST-1266,PROD-1010,Jacket,Clothing,West,Plymouth,5,158.1,0.2,632.4,272.12,0.4303
ORD-100018,2023-11-19,2023-11-22,Standard Class,CUST-1070,PROD-1028,Tennis Racket,Sports,North,Newcastle,4,329.27,0.0,1317.08,582.64,0.4424
ORD-100019,2024-04-29,2024-05-03,First Class,CUST-1277,PROD-1014,Suit,Clothing,West,Cardiff,4,467.85,0.0,1871.4,1121.88,0.5995
ORD-100020,2022-02-10,2022-02-17,Same Day,CUST-1244,PROD-1026,Running Shoes,Sports,North,Leeds,7,428.06,0.05,2846.6,1104.7,0.3881
ORD-100021,2022-12-05,2022-12-12,Same Day,CUST-1065,PROD-1001,Smartphone,Electronics,West,Exeter,7,809.75,0.15,4818.01,2785.61,0.5782
ORD-100022,2022-02-25,2022-02-26,Same Day,CUST-1069,PROD-1034,Tea Set,Food & Grocery,North,Sheffield,10,142.17,0.1,1279.53,506.88,0.3961
ORD-100023,2023-11-23,2023-11-30,Same Day,CUST-1142,PROD-1024,Yoga Mat,Sports,East,Cambridge,8,108.76,0.0,870.08,315.76,0.3629
ORD-100024,2023-04-05,2023-04-11,Standard Class,CUST-1020,PROD-1030,Swimwear,Sports,North,Liverpool,1,234.35,0.0,234.35,87.86,0.3749
ORD-100025,2024-08-27,2024-09-02,Standard Class,CUST-1288,PROD-1001,Smartphone,Electronics,Central,Coventry,4,809.75,0.0,3239.0,1872.68,0.5782
ORD-100026,2022-12-02,2022-12-05,Standard Class,CUST-1296,PROD-1010,Jacket,Clothing,Central,Derby,2,158.1,0.2,252.96,108.85,0.4303
ORD-100027,2023-09-10,2023-09-17,Standard Class,CUST-1289,PROD-1004,Smartwatch,Electronics,Central,Coventry,2,227.77,0.15,387.21,138.74,0.3583
ORD-100028,2024-05-10,2024-05-17,Same Day,CUST-1054,PROD-1004,Smartwatch,Electronics,Central,Leicester,1,227.77,0.2,182.22,65.29,0.3583
ORD-100029,2024-12-04,2024-12-10,First Class,CUST-1275,PROD-1029,Football,Sports,South,Portsmouth,3,575.73,0.15,1468.11,442.27,0.3013
ORD-100030,2023-05-18,2023-05-25,Standard Class,CUST-1142,PROD-1029,Football,Sports,West,Bath,5,575.73,0.0,2878.65,867.2,0.3013
ORD-100031,2022-02-28,2022-03-04,First Class,CUST-1093,PROD-1029,Football,Sports,Central,Derby,7,575.73,0.0,4030.11,1214.08,0.3013
ORD-100032,2024-09-02,2024-09-08,Same Day,CUST-1229,PROD-1026,Running Shoes,Sports,West,Bath,4,428.06,0.15,1455.4,564.81,0.3881
